saccade id,start timestamp [ns],duration [ms],amplitude [px],mean velocity [px/s],peak velocity [px/s]
0,1754818088023512320,116.666624,385.6734369904155,3305.773526029308,5070.912184426468
1,1754818089290179072,216.666624,782.1847607822592,3610.084222211628,5889.002548435476
2,1754818091240179200,249.999872,406.4984624817171,1625.994682436146,2718.451035913654
3,1754818092406845696,250.000128,478.17674556590475,1912.7060029581455,2886.8806972724906
4,1754818093806845696,133.333248,551.7653486764098,4138.242763548442,5572.762234399979
5,1754818095240179200,149.999872,562.5699956449864,3750.469838034171,5560.797954023309
6,1754818096390179072,166.666752,409.2981798151563,2455.787821527573,3400.8121841097204
7,1754818097723512320,83.333376,210.7225664232476,2528.669502400186,3801.0151556085807
8,1754818099640179200,233.333248,496.1663027655143,2126.4277895172245,3464.643712091892
9,1754818101690179072,233.333248,450.99889135118724,1932.8530983770786,2533.717037902828
10,1754818102940178944,83.333376,325.59176893772974,3907.0992268179525,5375.146364644757
11,1754818103723512320,216.666624,399.02004962156974,1841.631360913113,2808.1265150357317
12,1754818105106845696,233.333248,400.88527037046396,1718.0803584856624,2778.8215366792933
13,1754818106773512448,83.333376,202.18061232472317,2426.1661056996318,3939.742624516157
14,1754818108156845824,216.666624,496.38392399432115,2291.0031772790308,3094.2270647530954
15,1754818109440179200,166.666496,742.1219576323018,4452.736305395788,5962.130877014589
16,1754818110673512448,100.0,572.5451947226525,5725.451947226525,9598.073413314996
17,1754818112156845824,83.333376,379.4733192202055,4553.677499159587,6189.064060508856
18,1754818113273512448,100.0,381.7342007208681,3817.342007208681,6015.473946721044
19,1754818114740178944,183.333376,197.80040444852483,1078.9110458999285,1737.1449339374924
20,1754818115873512448,83.333376,213.7755832643195,2565.3056857353226,4124.6552512634
21,1754818116990179072,216.666624,528.7513593363142,2440.3913698139045,3497.74820193101
22,1754818118873512448,149.999872,654.8564728243892,4365.713544238152,6527.753580510278
23,1754818119640179200,116.666624,32.202484376209235,276.02139559818954,460.7340364836867
24,1754818121590179072,166.666752,972.45102704455,5834.703174899274,9733.391636445776
25,1754818122640179200,200.0,641.8792721376817,3209.3963606884085,4922.1897857499725
26,1754818124140178944,100.000256,221.98423367437607,2219.8366539619265,3096.1693435776397
27,1754818126006845696,83.333376,600.6105227183419,7207.322582470941,11612.62753598841
28,1754818127806845696,100.0,379.47595444243893,3794.7595444243893,5171.565401337029
29,1754818129756845824,133.333248,558.3189052862173,4187.394469579091,6412.278031514338
30,1754818130956845824,100.0,497.8533920744138,4978.5339207441375,8126.960976720905
